year,team,player
1964,WS2,CRAIP101
1964,WS2,CUNNJ101
1964,WS2,DANIB102
1964,WS2,DUCKJ101
1964,WS2,HANNJ102
1964,WS2,HINTC101
1964,WS2,HUNTK102
1964,WS2,KENNJ105
1964,WS2,KINGJ101
1964,WS2,KIRKW101
1964,WS2,KLINR102
1964,WS2,KOCHA101
1964,WS2,KOPLH101
1964,WS2,KREUF101
1964,WS2,LEPPD101
1964,WS2,LOCKD101
1964,WS2,LOUND101
1964,WS2,NARUB101
1964,WS2,OSTEC103
1964,WS2,PHILD103
1964,WS2,RETZK101
1964,WS2,RIDZS101
1964,WS2,ROEBE101
1964,WS2,RUDOD103
1964,WS2,SIEVR101
1964,WS2,SKOWB101
1964,WS2,STEND101
1964,WS2,VALEF101
1964,WS2,ZIMMD101
1965,BAL,ADAIJ101
1965,BAL,APARL101
1965,BAL,BARBS102
1965,BAL,BARNE102
1965,BAL,BELAM101
1965,BAL,BERTF101
1965,BAL,BLAIP101
1965,BAL,BLEFC101
1965,BAL,BOWES103
1965,BAL,BRANJ101
1965,BAL,BROWD102
1965,BAL,BUNKW101
1965,BAL,ETCHA101
1965,BAL,HADDH101
1965,BAL,HALLD101
1965,BAL,JOHNB104
1965,BAL,JOHND105
1965,BAL,KNOWD101
1965,BAL,LARSD102
1965,BAL,LAU-C101
1965,BAL,MCNAD102
1965,BAL,MILLJ103
1965,BAL,MILLS101
1965,BAL,ORSIJ101
1965,BAL,PALMJ001
1965,BAL,PAPPM101
1965,BAL,POWEB101
1965,BAL,ROBER102
1965,BAL,ROBIB104
1965,BAL,ROWEK101
1965,BAL,SIEBN101
1965,BAL,SNYDR102
1965,BAL,STARH101
1965,BAL,WARWC101
1965,BOS,BENND101
1965,BOS,BRESE101
1965,BOS,CONIT101
1965,BOS,DULIB101
1965,BOS,EARLA101
1965,BOS,GEIGG101
1965,BOS,GOSGJ101
1965,BOS,GREEL101
1965,BOS,HEFFB101
1965,BOS,HORTT101
1965,BOS,JONED102
1965,BOS,LAMAJ101
1965,BOS,LONBJ101
1965,BOS,MALZF101
1965,BOS,MANTF101
1965,BOS,MONBB101
1965,BOS,MORED103
1965,BOS,MOSEJ101
1965,BOS,NIXOR101
1965,BOS,PETRR101
1965,BOS,RADAD101
1965,BOS,RITCJ101
1965,BOS,RYANM101
