player,fullname,firstname,lastname,suffix,givenname,nickname,matrilineal
SMITJ001,Jason Smith,Jason,Smith,,Jason William,,
SMITJ002,Joe Smith,Joe,Smith,,Joseph Michael,,
SMITJ003,Jordan Smith,Jordan,Smith,,Jordan L.,,
SMITJ004,Josh Smith,Josh,Smith,,Joshua Allen,,
SMITJ005,Jake Smith,Jake,Smith,,Jacob Matthew,,
SMITJ101,Jim Smith,Jim,Smith,,James Lorne,,
SMITJ109,Jack Smith,Jack,Smith,,Jack Hatfield,,
SMITK001,Keith Smith,Keith,Smith,,Patrick Keith,,
SMITK002,Kevan Smith,Kevan,Smith,,Kevan Alan,,
SMITK101,Keith Smith,Keith,Smith,,Keith Lavarne,,
SMITK102,Ken Smith,Ken,Smith,,Kenneth Earl,,
SMITL001,Lee Smith,Lee,Smith,,Lee Arthur,,
SMITL002,Lonnie Smith,Lonnie,Smith,,Lonnie,Skates,
SMITM001,Mike Smith,Mike,Smith,,Michael Anthony,,
SMITM002,Mike Smithson,Mike,Smithson,,Billy Mike,,
SMITM003,Mike Smith,Mike,Smith,,Michael Anthony,,
SMITM004,Mark Smith,Mark,Smith,,Mark Edward,,
SMITM005,Mike Smith,Mike,Smith,,Michael Anthony,,
SMITM006,Matt Smith,Matt,Smith,,Matthew Joel,,
SMITM007,Mallex Smith,Mallex,Smith,,Mallex Lydell,,
SMITM008,Murphy Smith,Murphy,Smith,,Murphy,,
SMITM101,Mark Smith,Mark,Smith,,Mark Christopher,,
SMITO001,Ozzie Smith,Ozzie,Smith,,Osborne Earl,,
SMITP001,Pete Smith,Pete,Smith,,Peter John,,
SMITR001,Roy Smith,Roy,Smith,,LeRoy Purdy,,
SMITR002,Roger Smithberg,Roger,Smithberg,,Roger Craig,,
SMITR003,Bob Smith,Bob,Smith,,Robert Eugene,,
SMITR004,Roy Smith,Roy,Smith,,Walter Roy,,
SMITR101,Reggie Smith,Reggie,Smith,,Carl Reginald,,
SMITR102,Ray Smith,Ray,Smith,,Raymond Edward,,
SMITS001,Stephen Smitherman,Stephen,Smitherman,,Stephen Lydell,,
SMITS002,Seth Smith,Seth,Smith,,Garry Seth,,
SMITT001,Travis Smith,Travis,Smith,,Travis William,,
SMITT002,Tyler Smith,Tyler,Smith,,Tyler Douglas,,
SMITT102,Tommy Smith,Tommy,Smith,,Tommy Alexander,,
SMITW001,Willie Smith,Willie,Smith,,Willie Everett,,
SMITW002,Will Smith,Will,Smith,,William Michael,,
SMITW102,Willie Smith,Willie,Smith,,Willie,,
SMITZ001,Zane Smith,Zane,Smith,,Zane William,,
SMOAJ001,Justin Smoak,Justin,Smoak,,Justin Kyle,,
SMOKJ001,Josh Smoker,Josh,Smoker,,Joshua Michael,,
SMOLJ001,John Smoltz,John,Smoltz,,John Andrew,,
SMOLJ002,Jake Smolinski,Jake,Smolinski,,Jacob Michael,,
SMYLD001,Drew Smyly,Drew,Smyly,,Todd Andrew,,
SMYTS001,Steve Smyth,Steve,Smyth,,Steven Delton,,
SNARR001,Ryan Snare,Ryan,Snare,,Ryan Delbert,,
SNEAE001,Esix Snead,Esix,Snead,,Esix,,
SNELB001,Blake Snell,Blake,Snell,,Blake Ashton,,
SNELC001,Chris Snelling,Chris,Snelling,,Christopher Doyle,,
SNELD001,D. J. Snelten,D. J.,Snelten,,Donald Marek,,
SNELI001,Ian Snell,Ian,Snell,,Ian Dante,,
SNELN001,Nate Snell,Nate,Snell,,Nathaniel,,
SNIDD101,Duke Snider,Duke,Snider,,Edwin Donald,The Silver Fox,
SNIDT001,Travis Snider,Travis,Snider,,Travis James,,
SNIDV001,Van Snider,Van,Snider,,Van Voorhees,,
SNODS001,Scott Snodgress,Scott,Snodgress,,Scott Andrew,,
SNOOF101,Frank Snook,Frank,Snook,,Frank Walter,,
SNOPC001,Chris Snopek,Chris,Snopek,,Christopher Charles,,
SNOWJ001,J. T. Snow,J. T.,Snow,,Jack Thomas,,
SNYDB001,Brian Snyder,Brian,Snyder,,Brian Robert,,
SNYDB002,Brad Snyder,Brad,Snyder,,Bradley Michael,,
SNYDB003,Brandon Snyder,Brandon,Snyder,,Brandon Roger,,
SNYDC001,Cory Snyder,Cory,Snyder,,James Cory,,
SNYDC002,Chris Snyder,Chris,Snyder,,Christopher Ryan,,
SNYDE001,Earl Snyder,Earl,Snyder,,Earl Clifford,,
SNYDJ001,John Snyder,John,Snyder,,John Michael,,
SNYDJ103,Jim Snyder,Jim,Snyder,,James Robert,,
SNYDK001,Kyle Snyder,Kyle,Snyder,,Kyle Ehren,,
SNYDR102,Russ Snyder,Russ,Snyder,,Russell Henry,,
SOBKS001,Scott Sobkowiak,Scott,Sobkowiak,,Scott,,
SOBOC001,Chad Sobotka,Chad,Sobotka,,Chad Nicholas,,
SOCOM001,Miguel Socolovich,Miguel,Socolovich,,Miguel Angel,,
SODEE101,Eric Soderholm,Eric,Soderholm,,Eric Thane,,
SODES001,Steve Soderstrom,Steve,Soderstrom,,Stephen Andrew,,
SODOC001,Clint Sodowsky,Clint,Sodowsky,,Clint Rea,,
SOFFR001,Ray Soff,Ray,Soff,,Raymond John,,
SOFIR101,Rick Sofield,Rick,Sofield,,Richard Michael,,
SOGAE001,Eric Sogard,Eric,Sogard,,Eric Sidney,,
SOJOL001,Luis Sojo,Luis,Sojo,,Luis Beltran,,Sojo
SOLAD001,Donovan Solano,Donovan,Solano,,Donovan,,Preciado
SOLAJ001,Julio Solano,Julio,Solano,,Julio Cesar,,
SOLAJ002,Jhonatan Solano,Jhonatan,Solano,,Jhonatan,Onion,Preciado
SOLAT101,Tony Solaita,Tony,Solaita,,Tolia,,
SOLAY001,Yangervis Solarte,Yangervis,Solarte,,Yangervis Alfredo,,
SOLEA001,Alay Soler,Alay,Soler,,Alain,,Gonzalez
SOLEJ001,Jorge Soler,Jorge,Soler,,Jorge Carlos,,Castillo
SOLIA001,Ali Solis,Ali,Solis,,Roman Ali,,Lopez
SOLIS001,Sammy Solis,Sammy,Solis,,Samuel Robert,,
SOLOE101,Eddie Solomon,Eddie,Solomon,,Eddie,Buddy J,
SOMSL001,Layne Somsen,Layne,Somsen,,Layne R.,,
SONNA001,Andy Sonnanstine,Andy,Sonnanstine,,Andrew Michael,,
SOREL001,Lary Sorensen,Lary,Sorensen,,Lary Alan,,
SOREZ001,Zach Sorensen,Zach,Sorensen,,Zach Hart,,
SORIA001,Alfonso Soriano,Alfonso,Soriano,,Alfonso Guilleard,,
SORIJ001,Joakim Soria,Joakim,Soria,,Joakim Agustin,,Ramos
SORIR001,Rafael Soriano,Rafael,Soriano,,Rafael,,
SOROM001,Mike Soroka,Mike,Soroka,,Michael John Graydon,,
SORRB101,Billy Sorrell,Billy,Sorrell,,Billy Lee,,
SORRP001,Paul Sorrento,Paul,Sorrento,,Paul Anthony,,
SOSAE001,Edmundo Sosa,Edmundo,Sosa,,Edmundo,,
SOSAE101,Elias Sosa,Elias,Sosa,,Elias,,Martinez
SOSAH001,Henry Sosa,Henry,Sosa,,Henry,,Esther
SOSAJ001,Juan Sosa,Juan,Sosa,,Juan Luis,,Encarnacion
SOSAJ002,Jorge Sosa,Jorge,Sosa,,Jorge Bolivar,,
SOSAJ101,Jose Sosa,Jose,Sosa,,Jose Ynocencio,,
SOSAS001,Sammy Sosa,Sammy,Sosa,,Samuel Peralta,,
SOTOG001,Geovany Soto,Geovany,Soto,,Geovany,,Ponce
SOTOG002,Giovanni Soto,Giovanni,Soto,,Giovanni Luis,,
